รหัส,ที่มา,วันที่,โครงการ,ประเภท,ห้อง,ตรม.,ชั้น,เช่า,ขาย,ทำเล,สถานี,ต้นทาง,เจ้าของ,ที่โพสต์,เพจ,หมายเหตุ
PTP8243,ชีท,25/07/2026,ที่ดินเปล่า สุขุมวิท 101 ซอยปุณณวิถี 39,อื่นๆ,,764,,,"76,400,000","แบริ่ง, สุขุมวิท",BTS แบริ่ง,https://www.facebook.com/share/p/1BRK4jMtL7/,https://www.facebook.com/K.Tassanaekajit/,,,
PTP8242,ชีท,25/07/2026,Ceil by Sansiri (ซีล บาย แสนสิริ),คอนโด,1 Bed 1 Bath,35,6,"18,000",,"ทองหล่อ, อโศก, สุขุมวิท, เอกมัย",BTS เอกมัย,https://www.facebook.com/share/p/197zDN2u5y/?,,,,
PTP8241,ชีท,25/07/2026,59 Heritage (59 เฮอริเทจ),คอนโด,2 Bed 2 Bath,75,11,"35,000",,"ทองหล่อ, อโศก, สุขุมวิท, เอกมัย","BTS ทองหล่อ, BTS เอกมัย",https://www.facebook.com/share/p/1994wQB1mr/?,,,,
PTP8240,ชีท,25/07/2026,Prasanmit Condominium (ประสานมิตร คอนโดมิเนียม),คอนโด,2 Bed 1 Bath,68.5,7,"32,000",,"อโศก, มศว ประสานมิตร",BTS อโศก,https://www.facebook.com/share/p/18qSoxAPAw/,https://www.facebook.com/worrapol.jarunavin/,,,
PTP8239,ชีท,25/07/2026,Life Sukhumvit 48 (ไลฟ์ สุขุมวิท 48),คอนโด,1 Bed + 1 Bath,40,12,"22,000",,"อ่อนนุช, อุดมสุข, พระโขนง","BTS พระโขนง, BTS อ่อนนุช",https://www.facebook.com/share/p/1BrZhedk3X/,https://www.facebook.com/nuttae.nuttapon/,,,
PTP8238,ชีท,25/07/2026,Le Luk Condominium (เลอ ลักซ์ คอนโดมิเนียม),คอนโด,2 Bed 2 Bath,60.56,38,"35,000",,"พระโขนง, เอกมัย","BTS พระโขนง, BTS เอกมัย",https://www.facebook.com/share/p/1GWdN5v7g4/,https://www.facebook.com/profile.php?id=61591845267114,,,
PTP8237,ชีท,25/07/2026,The Base Park East Sukhumvit 77 (เดอะ เบส พาร์คอีสท์ สุขุมวิท 77),คอนโด,1 Bed 1 Bath,26,5,"13,000",,"อ่อนนุช, สุขุมวิท, พระโขนง, บางจาก","BTS อ่อนนุช, BTS พระโขนง, BTS บางจาก",https://www.facebook.com/share/1E7Xcm7bRF/?mibextid=wwXIfr,https://www.facebook.com/n.secretbase/,,,
PTP8236,ชีท,25/07/2026,The Glamor Ekkamai - Praditmanutham (ดิ แกลมเมอร์ เอกมัย - ประดิษฐ์มนูธรรม),บ้าน,3 Bed,412,3,"180,000",,"เอกมัย, ทองหล่อ","BTS เอกมัย, BTS ทองหล่อ",https://www.facebook.com/share/p/19FUuBJrMD/?mibextid=wwXIfr,,,,
PTP8235,ชีท,25/07/2026,Niche Pride Thonglor-Phetchaburi (นิช ไพรด์ ทองหล่อ - เพชรบุรี),คอนโด,1 Bed 1 Bath,30,21,"15,000",,"ทองหล่อ, เพชรบุรีตัดใหม่, RCA, โรงพยาบาลกรุงเทพ, มศว ประสานมิตร","MRT เพชรบุรี, BTS ทองหล่อ, ARL มักกะสัน",https://www.facebook.com/share/p/18dMR4ZSUU/,https://www.facebook.com/akharavat/,,,
PTP8234,ชีท,25/07/2026,Niche Pride Thonglor-Phetchaburi (นิช ไพรด์ ทองหล่อ - เพชรบุรี),คอนโด,1 Bed 1 Bath,31,12A,"16,500",,"ทองหล่อ, เพชรบุรีตัดใหม่, RCA, โรงพยาบาลกรุงเทพ, มศว ประสานมิตร","MRT เพชรบุรี, BTS ทองหล่อ, ARL มักกะสัน",https://www.facebook.com/share/p/1CxGjGLeC5/,https://www.facebook.com/parnpalinpicha/,,,
PTP8233,ชีท,25/07/2026,The Base Garden Rama 9 (เดอะ เบส การ์เดน พระราม 9),คอนโด,1 Bed 1 Bath,31,22,"14,000",,"เพชรบุรีตัดใหม่, RCA, พระราม 9, รามคำแหง",ARL รามคำแหง,https://www.facebook.com/share/p/1cjEgMKkki/?mibextid=wwXIfr,,,,
PTP8232,ชีท,25/07/2026,The Trendy Condominium (เดอะ เทรนดี้ คอนโดมิเนียม),คอนโด,Studio  1 Bath,40,8,"16,000",,"นานา, อโศก","BTS นานา, BTS อโศก, MRT สุขุมวิท",https://www.facebook.com/share/1MG57eoxug/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1CSxeQBJVy/?mibextid=wwXIfr,https://www.facebook.com/share/p/1Et9GNFSmU/?mibextid=wwXIfr,
PTP8231,ชีท,24/07/2026,อาคารสำนักงาน ซ. อ่อนนุช 66 แยก19-12-7,พื้นที่ให้เช่า/ขาย,,484,4.5,"66,000",,"อ่อนนุช, พระโขนง, บางจาก","BTS อ่อนนุช, BTS พระโขนง, BTS บางจาก",https://www.facebook.com/share/p/19Tr3J74Mr/,https://www.facebook.com/nisa.mni.khanthxng/,https://www.facebook.com/share/p/1AUWZfjq4v/?mibextid=wwXIfr,https://www.facebook.com/share/p/1C8xhqXSpa/?mibextid=wwXIfr,
PTP8230,ชีท,24/07/2026,The Capital Ekamai - Thonglor (เดอะ แคปิตอล เอกมัย - ทองหล่อ),คอนโด,1 Bed 1 Bath,35.6,16,"20,000","3,800,000","เอกมัย, ทองหล่อ","BTS เอกมัย, BTS ทองหล่อ",https://www.facebook.com/share/p/1PgTHMCBt5/,https://www.facebook.com/Cherlinvrcwp/,https://www.facebook.com/share/p/1CEXrGaXoA/?mibextid=wwXIfr,https://www.facebook.com/share/p/14kKrb6bByn/?mibextid=wwXIfr,
PTP8229,ชีท,24/07/2026,NIA by Sansiri (เนีย บาย แสนสิริ),คอนโด,2 Bed 2 Bath,54,,"30,000",,"อ่อนนุช, อุดมสุข, พระโขนง, เจริญนคร","BTS พระโขนง, BTS กรุงธนบุรี, BTS เจริญนคร",https://www.facebook.com/share/p/1858sbHD6C/,https://www.facebook.com/herzhiyao/,https://www.facebook.com/share/p/18yfo1pKiF/?mibextid=wwXIfr,https://www.facebook.com/share/p/1DcGVNQFxc/?mibextid=wwXIfr,
PTP8228,ชีท,24/07/2026,I CONDO Sukhumvit 103 (ไอ คอนโด สุขุมวิท 103),คอนโด,2 Bed 2 Bath,49,5,"18,000",,"แบริ่ง, สุขุมวิท",BTS แบริ่ง,https://www.facebook.com/share/p/1JXf5mABgC/,https://www.facebook.com/aon.rattanavadee/,https://www.facebook.com/share/p/1BM6RsM2E2/?mibextid=wwXIfr,https://www.facebook.com/share/p/1XsTxQDhQK/?mibextid=wwXIfr,
PTP8227,ชีท,24/07/2026,Noble Reveal (โนเบิล รีวิล),คอนโด,1 Bed 1 Bath,54,24,"36,000",,"ทองหล่อ, อโศก, สุขุมวิท, เอกมัย, พระโขนง","BTS เอกมัย, BTS ทองหล่อ, BTS พระโขนง",https://www.facebook.com/share/p/1Bben9Usvs/?,,https://www.facebook.com/share/p/1BdGcSEA1d/?mibextid=wwXIfr,https://www.facebook.com/share/p/14iQeFLcGtC/?mibextid=wwXIfr,
PTP8226,ชีท,24/07/2026,Landmark @ MRTA Station (แลนด์มาร์ค แอท เอ็มอาร์ทีเอ สเตชั่น ),คอนโด,Duplex 1 Bed 1 Bath,37.5,7,"23,000",,เจริญนคร,"BTS กรุงธนบุรี, BTS เจริญนคร",https://www.facebook.com/share/p/1JSPLE9U4s/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1ESYwVGCSA/?mibextid=wwXIfr,https://www.facebook.com/share/p/1Ad25VDyDT/?mibextid=wwXIfr,
PTP8225,ชีท,24/07/2026,D 50 Private Apartment (ดี ฟิฟตี้ อพาร์ทเม้น),คอนโด,1 Bed 1 Bath,45,,"22,000",,อ่อนนุช,BTS อ่อนนุช,https://www.facebook.com/share/p/1JTPAfzpF9/,https://www.facebook.com/danu.sukhavat/,https://www.facebook.com/share/p/1C8tUKXSwd/?mibextid=wwXIfr,https://www.facebook.com/share/p/1EHt455eZc/?mibextid=wwXIfr,
PTP8224,ชีท,24/07/2026,Noble Remix (โนเบิล รีมิกซ์),คอนโด,1 Bed 1 Bath,40,12A,"26,000",,"ทองหล่อ, อโศก, สุขุมวิท, เอกมัย, พร้อมพงษ์","BTS ทองหล่อ, BTS เอกมัย, BTS พร้อมพงษ์",https://www.facebook.com/share/p/1afYv9e1dc/?mibextid=wwXIfr,,https://www.facebook.com/share/p/195PqfnYT4/?mibextid=wwXIfr,https://www.facebook.com/share/p/1BhxKfQnFQ/?mibextid=wwXIfr,
PTP8223,ชีท,24/07/2026,The FINE Bangkok Thonglor - Ekamai (เดอะ ฟายน์ แบงค็อค ทองหล่อ - เอกมัย),คอนโด,2 Bed 2 Bath,56,10,"40,000",,"เอกมัย, ทองหล่อ","BTS เอกมัย, BTS ทองหล่อ",https://www.facebook.com/share/p/1BzLtjAbFv/,https://www.facebook.com/artit.patsuwannakarn/,https://www.facebook.com/share/p/18vfytSM9X/?mibextid=wwXIfr,https://www.facebook.com/share/p/1MRE5jfTjm/?mibextid=wwXIfr,
PTP8222,ชีท,24/07/2026,Siamese Sukhumvit 48 (ไซมิส สุขุมวิท 48),คอนโด,Duplex 1 Bed 1 Bath,35,19,"18,000",,"อ่อนนุช, อุดมสุข, เจริญนคร","BTS อ่อนนุช, BTS กรุงธนบุรี, BTS เจริญนคร",https://www.facebook.com/share/p/1C2tS9iqMY/,https://www.facebook.com/panida.pachusanon/,https://www.facebook.com/share/p/1JtFtdtVCG/?mibextid=wwXIfr,https://www.facebook.com/share/p/18xqLdNV9q/?mibextid=wwXIfr,
PTP8221,ชีท,23/07/2026,Elio Del Nest (เอลลิโอ เดล เนสท์),คอนโด,Studio  1 Bath,27,3,"12,500",,"อ่อนนุช, อุดมสุข",BTS อุดมสุข,https://www.facebook.com/share/p/1HN9ebHKcy/,https://www.facebook.com/tan.vorakisvesan/,https://www.facebook.com/share/p/1EQKLtc5zg/?mibextid=wwXIfr,https://www.facebook.com/share/p/1CxYaVeCjM/?mibextid=wwXIfr,
PTP8220,ชีท,23/07/2026,Noble Solo (โนเบิล โซโล),คอนโด,1 Bed 1 Bath,41,18,"24,000",,"ทองหล่อ, อโศก, สุขุมวิท",BTS ทองหล่อ,https://www.facebook.com/share/p/1DwkP8hHNh/,https://www.facebook.com/dhanistha.wongapichart/,https://www.facebook.com/share/p/1BiaXUv5uS/?mibextid=wwXIfr,https://www.facebook.com/share/p/1DhWcgrF6b/?mibextid=wwXIfr,
PTP8219,ชีท,23/07/2026,One Sukhumvit 52 (วัน สุขุมวิท 52 ),คอนโด,1 Bed 1 Bath,50,4,"18,000",,"ทองหล่อ, สุขุมวิท, เอกมัย","BTS ทองหล่อ, BTS เอกมัย",https://www.facebook.com/share/p/1BJQ6hhxd8/,https://www.facebook.com/darunuch/,https://www.facebook.com/share/p/19GDMokUhx/?mibextid=wwXIfr,https://www.facebook.com/share/p/1Bfh4M2ZkN/?mibextid=wwXIfr,
PTP8218,ชีท,23/07/2026,Life @ Ratchada - Huay Kwang (ไลฟ์ แอท รัชดา - ห้วยขวาง),คอนโด,1 Bed 1 Bath,30,19,"16,000",,"รัชดา, ห้วยขวาง","MRT ห้วยขวาง, MRT รัชดาภิเษก, MRT สุทธิสาร",https://www.facebook.com/share/p/19U63t9Nuu/,https://www.facebook.com/b.b.hmi.hmi/,https://www.facebook.com/share/p/17i3y77dfy/?mibextid=wwXIfr,https://www.facebook.com/share/p/1BgwoiaQwi/?mibextid=wwXIfr,
PTP8217,ชีท,23/07/2026,IDEO Mobi Sukhumvit 81 (ไอดีโอ โมบิ สุขุมวิท 81),คอนโด,1 Bed 1 Bath,31,16,"17,000",,"อ่อนนุช, อุดมสุข, บางจาก","BTS อ่อนนุช, BTS บางจาก",https://www.livinginsider.com/istockdetail/DIoooI_CgfeIbo.html,,https://www.facebook.com/share/p/1YEXfLVLCv/?mibextid=wwXIfr,https://www.facebook.com/share/p/1D84fFexCC/?mibextid=wwXIfr,
PTP8216,ชีท,23/07/2026,Nusasiri Grand (ณุศาศิริ แกรนด์),คอนโด,Studio  1 Bath,39,12,"18,000",,"ทองหล่อ, อโศก, สุขุมวิท, เอกมัย, พระโขนง","BTS เอกมัย, BTS พระโขนง, BTS ทองหล่อ",https://www.livinginsider.com/istockdetail/DIoooI_CeeIjfj.html,,https://www.facebook.com/share/p/1HPXdwh5im/?mibextid=wwXIfr,https://www.facebook.com/share/p/1YiEtufreY/?mibextid=wwXIfr,
PTP8215,ชีท,23/07/2026,Supalai Park Asoke - Ratchada (ศุภาลัย ปาร์ค อโศก - รัชดา),คอนโด,Studio  1 Bath,33.87,28,"12,900",,"เพชรบุรีตัดใหม่, RCA, พระราม 9, มักกะสัน","MRT พระราม 9, ARL มักกะสัน, MRT เพชรบุรี",https://www.livinginsider.com/istockdetail/DIoooI_CIIyjbj.html,,https://www.facebook.com/share/p/19N5xPxXTU/?mibextid=wwXIfr,https://www.facebook.com/share/p/1BUYifgzvH/?mibextid=wwXIfr,
PTP8214,ชีท,23/07/2026,The Link Sukhumvit 50 (เดอะ ลิงค์ สุขุมวิท 50),คอนโด,1 Bed 1 Bath,31,1-4,"12,300",,"อ่อนนุช, อุดมสุข",BTS อ่อนนุช,https://www.livinginsider.com/istockdetail/DIoooI_Dbgoegf.html,,https://www.facebook.com/share/p/1Dh9SgBR7v/?mibextid=wwXIfr,https://www.facebook.com/share/p/1EyGKCwDzb/?mibextid=wwXIfr,
PTP8213,ชีท,23/07/2026,Maestro 39 Sukhumvit 39 (มาเอสโตร 39 สุขุมวิท 39),คอนโด,1 Bed 1 Bath,30,5,"22,000",,"ทองหล่อ, อโศก, สุขุมวิท, พร้อมพงษ์",BTS พร้อมพงษ์,https://www.livinginsider.com/istockdetail/DIoooI_byyobbI.html,,https://www.facebook.com/share/p/1DDfTW4R9g/?mibextid=wwXIfr,https://www.facebook.com/share/p/1Es4PwWUq6/?mibextid=wwXIfr,
PTP8212,ชีท,23/07/2026,อาคารพาณิชย์ อุดมสุข25,พื้นที่ให้เช่า/ขาย,2 Bed 1 Bath,120,3,"10,000",,"อ่อนนุช, อุดมสุข, เจริญนคร","BTS กรุงธนบุรี, BTS เจริญนคร, BTS สายหลัก",https://www.livinginsider.com/istockdetail/DIoooI_DbgbCgC.html,,https://www.facebook.com/share/p/1HCB1DwWmu/?mibextid=wwXIfr,https://www.facebook.com/share/p/1YNWZtTHxQ/?mibextid=wwXIfr,
PTP8211,ชีท,20/07/2026,อาคารพานิชย์ ซอยนวมินทร์ 50,พื้นที่ให้เช่า/ขาย,3 Bed 2 Bath,200,4,"15,000","3,900,000","เกษตร นวมินทร์ ลาดปลาเค้า, เจริญนคร","BTS กรุงธนบุรี, BTS เจริญนคร, BTS สายหลัก",https://www.livinginsider.com/istockdetail/DIoooI_DbbIjCj.html,,https://www.facebook.com/share/p/19SBjP3kTS/,https://www.facebook.com/share/p/1KMiWfdCLU/,
PTP8210,ชีท,20/07/2026,Life Asoke (ไลฟ์ อโศก),คอนโด,2 Bed 2 Bath,55,24,"38,000",,"อโศก, เพชรบุรีตัดใหม่, RCA, มศว ประสานมิตร, พระราม 9","MRT เพชรบุรี, ARL มักกะสัน, MRT พระราม 9",https://www.livinginsider.com/istockdetail/DIoooI_yybIyf.html,,https://www.facebook.com/share/p/1cJbWx8pc1/?mibextid=wwXIfr,https://www.facebook.com/share/p/1HG6KYwiku/?mibextid=wwXIfr,
PTP8209,ชีท,20/07/2026,Knightsbridge Collage Ramkhamhaeng (ไนท์บริดจ์ คอลลาจ รามคำแหง),คอนโด,1 Bed 1 Bath,32.3,4,"15,000",,รามคำแหง,"MRT แยกลำสาลี, MRT บางกะปิ",https://www.livinginsider.com/istockdetail/DIoooI_CyIffoo.html,,https://www.facebook.com/share/p/18QKyGjQjB/?mibextid=wwXIfr,https://www.facebook.com/share/p/19XcAsvVgM/?mibextid=wwXIfr,
PTP8208,ชีท,20/07/2026,Country Complex (คันทรี คอมเพล็กซ์),คอนโด,2 Bed 1 Bath,80,16,"17,000",,"บางนา, เจริญนคร","BTS บางนา, BTS กรุงธนบุรี, BTS เจริญนคร",https://www.livinginsider.com/istockdetail/DIoooI_CojoyoI.html,,https://www.facebook.com/share/p/18tDb1cpr4/?mibextid=wwXIfr,https://www.facebook.com/share/p/17oo9NB5Kt/?mibextid=wwXIfr,
PTP8207,ชีท,20/07/2026,Bangkok Feliz Sukhumvit 69 (แบงค์คอก เฟ'ลิซ สุขุมวิท 69),คอนโด,1 Bed 1 Bath,33,5,"16,500",,"พระโขนง, สุขุมวิท",BTS พระโขนง,https://www.facebook.com/share/p/1EoQRrv1QN/,https://www.facebook.com/kakpomkap/,https://www.facebook.com/share/p/1DZmn3mtfF/?mibextid=wwXIfr,https://www.facebook.com/share/p/18p8NU8gXf/?mibextid=wwXIfr,
PTP8206,ชีท,20/07/2026,Knightsbridge Space Rama 9 (ไนท์บริดจ์ สเปซ พระราม 9),คอนโด,Duplex 2 Bed 1 Bath,45.51,17,"39,000",,"พระราม 9, มักกะสัน","MRT พระราม 9, ARL มักกะสัน",https://www.facebook.com/share/p/192c9yGqXq/,https://www.facebook.com/jayrin.supakorn/,https://www.facebook.com/share/p/1EvMbQZgvh/?mibextid=wwXIfr,https://www.facebook.com/share/p/1cPMMentZC/?mibextid=wwXIfr,
PTP8205,ชีท,20/07/2026,Beyond Sukhumvit (บียอน สุขุมวิท),คอนโด,Duplex 1 Bed 1 Bath,39.19,5-6,"12,500",,"อุดมสุข, บางนา, สุขุมวิท","BTS อุดมสุข, BTS บางนา",https://www.facebook.com/share/p/197M8cBSeU/,https://www.facebook.com/golfza.twentyeight/,https://www.facebook.com/share/p/181uArKpLp/?mibextid=wwXIfr,https://www.facebook.com/share/p/1Cgq2bDSHA/?mibextid=wwXIfr,
PTP8204,ชีท,20/07/2026,The Waterford Diamond (เดอะ วอเตอร์ ฟอร์ด ไดมอนด์ ),คอนโด,1 Bed 1 Bath,52,32,"27,000",,"ทองหล่อ, อโศก, สุขุมวิท, พร้อมพงษ์","BTS ทองหล่อ, BTS พร้อมพงษ์",https://www.facebook.com/share/p/1DX8AUBpG9/,https://www.facebook.com/siripa.jungsawat/,https://www.facebook.com/share/p/1ESS7TrFRa/?mibextid=wwXIfr,https://www.facebook.com/share/p/1EY9HLHVxD/?mibextid=wwXIfr,
PTP8203,ชีท,20/07/2026,Aspire Sukhumvit - Onnut (แอสปาย สุขุมวิท - อ่อนนุช),คอนโด,1 Bed + 1 Bath,36,4,"17,000","3,400,000","อ่อนนุช, อุดมสุข, เจริญนคร","BTS กรุงธนบุรี, BTS เจริญนคร",https://www.facebook.com/share/p/1DQyEUi44i/?mibextid=wwXIfr,,https://www.facebook.com/share/p/19BNcy3yt5/?mibextid=wwXIfr,https://www.facebook.com/share/p/1DGJ7amN3b/?mibextid=wwXIfr,
PTP8202,ชีท,19/07/2026,IDEO Mobi Sukhumvit 81 (ไอดีโอ โมบิ สุขุมวิท 81),คอนโด,Duplex 1 Bed 1 Bath,42,24-25,"23,000",,"อ่อนนุช, อุดมสุข, บางจาก","BTS อ่อนนุช, BTS บางจาก",https://www.livinginsider.com/istockdetail/DIoooI_DofyCCy.html,,https://www.facebook.com/share/p/1BXiu3WFoE/?mibextid=wwXIfr,https://www.facebook.com/share/p/1EcY38f3RC/?mibextid=wwXIfr,
PTP8201,ชีท,19/07/2026,Thru Thonglor (ทรู ทองหล่อ),คอนโด,1 Bed 1 Bath,31,31,"15,000",,"ทองหล่อ, เพชรบุรีตัดใหม่, RCA, โรงพยาบาลกรุงเทพ, มศว ประสานมิตร","BTS ทองหล่อ, MRT เพชรบุรี, ARL มักกะสัน",,,https://www.facebook.com/share/p/196nL5LxEv/?mibextid=wwXIfr,https://www.facebook.com/share/p/1DBmA7oCqP/?mibextid=wwXIfr,
PTP8200,ชีท,19/07/2026,Thru Thonglor (ทรู ทองหล่อ),คอนโด,1 Bed 1 Bath,31,12A,"13,000","2,500,000","ทองหล่อ, เพชรบุรีตัดใหม่, RCA, โรงพยาบาลกรุงเทพ, มศว ประสานมิตร","BTS ทองหล่อ, MRT เพชรบุรี, ARL มักกะสัน",,,https://www.facebook.com/share/1GyADeLL3N/?mibextid=wwXIfr,https://www.facebook.com/share/p/1BfFVfLWpT/?mibextid=wwXIfr,
PTP8199,ชีท,19/07/2026,Raintree Villa (เรนทรี วิลล่า),คอนโด,1 Bed 1 Bath,31.43,5,,"3,790,000","ทองหล่อ, อโศก, สุขุมวิท, เพลินจิต, นานา","BTS เพลินจิต, BTS นานา, BTS ราชดำริ",https://www.livinginsider.com/istockdetail/DIoooI_Doyjgbb.html,,https://www.facebook.com/share/p/1EkFzP39bR/?mibextid=wwXIfr,https://www.facebook.com/share/p/1XgyW5Jry4/?mibextid=wwXIfr,
PTP8198,ชีท,19/07/2026,49 Plus (โฟร์ตี้ไนน์ พลัส),คอนโด,1 Bed 1 Bath,58,4,"25,000",,ทองหล่อ,BTS ทองหล่อ,https://www.facebook.com/share/p/1BDD1rBN1Z/?mibextid=wwXIfr,,https://www.facebook.com/share/p/192mDBucmo/?mibextid=wwXIfr,https://www.facebook.com/share/p/1GuprkPUz2/?mibextid=wwXIfr,
PTP8197,ชีท,19/07/2026,KAWA HAUS (คาวะ เฮาส์),คอนโด,1 Bed 1 Bath,37.25,5,"23,000","5,900,000","อ่อนนุช, อุดมสุข, พระโขนง","BTS อ่อนนุช, BTS พระโขนง",https://www.facebook.com/share/p/18hs4K9766/,https://www.facebook.com/peerada.lertnimitphun/,https://www.facebook.com/share/p/1C5FgZqoXt/?mibextid=wwXIfr,https://www.facebook.com/share/p/1HgxLRrect/?mibextid=wwXIfr,
PTP8196,ชีท,19/07/2026,The Tree Pattanakarn - Ekkamai (เดอะ ทรี พัฒนาการ - เอกมัย),คอนโด,1 Bed 1 Bath,32,5,"18,000",,"เพชรบุรีตัดใหม่, RCA, พระราม 9, รามคำแหง",ARL รามคำแหง,https://www.facebook.com/share/18usL7YJVK/,https://www.facebook.com/stangchp/,https://www.facebook.com/share/p/1DKXGFcUHM/?mibextid=wwXIfr,https://www.facebook.com/share/p/1BpWZ5ZP2U/?mibextid=wwXIfr,
PTP8195,ชีท,19/07/2026,Runesu Thonglor 5 (รูเนะสุ ทองหล่อ 5),คอนโด,2 Bed 1 Bath,65,5,"65,000",,"ทองหล่อ, เอกมัย","BTS ทองหล่อ, BTS เอกมัย",https://www.facebook.com/share/p/1BKjPzfR6Z/,https://www.facebook.com/kammy.intarawichai.2024/,https://www.facebook.com/share/p/1JvYHsNX6k/?mibextid=wwXIfr,https://www.facebook.com/share/p/1ESSWd2HHw/?mibextid=wwXIfr,
PTP8194,ชีท,19/07/2026,THE BASE Phetchaburi - Thonglor (เดอะ เบส เพชรบุรี - ทองหล่อ),คอนโด,1 Bed 1 Bath,35,17,"17,000",,"ทองหล่อ, เพชรบุรีตัดใหม่, RCA, โรงพยาบาลกรุงเทพ, มศว ประสานมิตร","MRT เพชรบุรี, BTS ทองหล่อ, ARL มักกะสัน",https://www.livinginsider.com/istockdetail/DIoooI_CjbCgye.html,,https://www.facebook.com/share/p/1G7tVt7zh1/?mibextid=wwXIfr,https://www.facebook.com/share/p/1LPY14h2U3/?mibextid=wwXIfr,
PTP8193,ชีท,19/07/2026,Circle Living Prototype (เซอร์เคิล ลิฟวิ่ง โปรโตไทพ์),คอนโด,1 Bed 1 Bath,58,18,"25,000",,"เพชรบุรีตัดใหม่, RCA, พระราม 9, มักกะสัน","ARL มักกะสัน, MRT เพชรบุรี",https://www.livinginsider.com/istockdetail/DIoooI_DbfbCjy.html,,https://www.facebook.com/share/p/1DyD3CYeY8/?mibextid=wwXIfr,https://www.facebook.com/share/p/1HQqGLs1iF/?mibextid=wwXIfr,
PTP8192,ชีท,18/07/2026,Supalai Veranda Ramkhamhaeng (ศุภาลัย เวอเรนด้า รามคำแหง ),คอนโด,2 Bed 1 Bath,43,7,"20,000",,"รามคำแหง, เจริญนคร","BTS กรุงธนบุรี, BTS เจริญนคร",https://www.facebook.com/share/p/1E4YJFZb5p/,https://www.facebook.com/mo.momee.14/,https://www.facebook.com/share/p/1f9SjQTaz4/?mibextid=wwXIfr,https://www.facebook.com/share/p/1DkhmaRfbh/?mibextid=wwXIfr,
PTP8191,ชีท,18/07/2026,Rhythm Asoke (ริทึ่ม อโศก),คอนโด,Studio  1 Bath,23,14,"14,000",,"เพชรบุรีตัดใหม่, RCA, พระราม 9, มักกะสัน","MRT พระราม 9, ARL มักกะสัน, MRT เพชรบุรี",https://www.livinginsider.com/istockdetail/DIoooI_CDbDoIf.html,,https://www.facebook.com/share/p/1996ofBKQU/?mibextid=wwXIfr,https://www.facebook.com/share/p/1By3ptPMnz/?mibextid=wwXIfr,
PTP8190,ชีท,18/07/2026,THE BASE Phetchaburi - Thonglor (เดอะ เบส เพชรบุรี - ทองหล่อ),คอนโด,1 Bed 1 Bath,33,7,"19,500",,"ทองหล่อ, เพชรบุรีตัดใหม่, RCA, โรงพยาบาลกรุงเทพ, มศว ประสานมิตร","MRT เพชรบุรี, BTS ทองหล่อ, ARL มักกะสัน",https://www.livinginsider.com/istockdetail/DIoooI_bgbDCfj.html,,https://www.facebook.com/share/p/1BfhSukALg/?mibextid=wwXIfr,https://www.facebook.com/share/p/1979bE3szj/?mibextid=wwXIfr,
PTP8189,ชีท,18/07/2026,The Clover Thonglor (เดอะ โคลเวอร์ ทองหล่อ),คอนโด,2 Bed 2 Bath,70,9,"35,000",,"ทองหล่อ, อโศก, สุขุมวิท",BTS ทองหล่อ,https://www.livinginsider.com/istockdetail/DIoooI_DbCjCgI.html,,https://www.facebook.com/share/p/18yUJ2ybrN/?mibextid=wwXIfr,https://www.facebook.com/share/p/1KbG4U8Sqp/?mibextid=wwXIfr,
PTP8188,ชีท,18/07/2026,The Trendy Condominium (เดอะ เทรนดี้ คอนโดมิเนียม),คอนโด,Studio  1 Bath,36,10,"16,500",,"นานา, อโศก","BTS นานา, BTS อโศก, MRT สุขุมวิท",https://www.livinginsider.com/istockdetail/DIoooI_CyboDCC.html,,https://www.facebook.com/share/p/1F5bgsMoB6/?mibextid=wwXIfr,https://www.facebook.com/share/p/1EUf797Xon/?mibextid=wwXIfr,
PTP8187,ชีท,18/07/2026,Chewathai Ratchaprarop (ชีวาทัย ราชปรารภ),คอนโด,1 Bed 1 Bath,34.43,19,"13,500",,"ราชเทวี พญาไท, เจริญนคร","BTS อนุสาวรีย์ชัยสมรภูมิ, ARL ราชปรารภ, BTS กรุงธนบุรี",https://www.livinginsider.com/istockdetail/DIoooI_DoIbDoD.html,,https://www.facebook.com/share/p/1MkjK3nv1N/?mibextid=wwXIfr,https://www.facebook.com/share/p/1Lkz3dHvvz/?mibextid=wwXIfr,
PTP8186,ชีท,18/07/2026,Life Asoke Rama 9 (ไลฟ์ อโศก - พระราม 9),คอนโด,1 Bed 1 Bath,25,32,"17,800",,"อโศก, เพชรบุรีตัดใหม่, RCA, มศว ประสานมิตร, พระราม 9","MRT พระราม 9, ARL มักกะสัน, MRT เพชรบุรี",https://www.facebook.com/share/p/1HEZDirASL/,https://www.facebook.com/siriwan.phoo/,https://www.facebook.com/share/p/187iPbHkaC/?mibextid=wwXIfr,https://www.facebook.com/share/p/192JDfRmKx/?mibextid=wwXIfr,
